schema_version,nav_id,strategy_version,trade_date,settled_through,nav,daily_return_pct,cash_value,market_value,occupied_slots,cash_slots,slot_utilization_pct,open_positions,open_trade_ids,stale_positions,stale_price_codes,industry_weights,max_industry,max_industry_weight_pct,unknown_industry_positions
recommend_nav_v2,nav_9f8ccb3dfb88e9361f0be71d,legacy_v1,20260724,20260724,1,0,1,0,0,5,0,0,,0,,{},,0,0
recommend_nav_v2,nav_d09026b95056e09d7a52d899,legacy_v1,20260727,20260727,1.02981404913,2.98140491299,0.6,0.42981404913,2,3,40,2,trd_ae0e14caee936aae79e6e314|trd_dc4f0fe1cbb16de6c1ed312f,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_f88c3645a17b57f555509e4a,legacy_v1,20260728,20260728,1.00804422942,-2.1139563716,0.623724702796,0.384319526627,2,3,40,2,trd_a6a818501d2915718ebce059|trd_b1aa3754a6aee0714fcc738c,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_79ea0d5ae585c1cfe64a0bbe,legacy_v1,20260729,20260729,0.993987244991,-1.39448091845,0.57839408284,0.415593162151,2,3,40,2,trd_2292839858eed386121915ac|trd_9d5330d5b76272639a5202b5,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_b49199d53d1f5d7c1fddd8a4,legacy_v1,20260730,20260730,0.983143126693,-1.09097157463,0.603147802331,0.379995324362,2,3,40,2,trd_1e5f260ca0ef7e7c5b986282|trd_6451e40675116fb9b51bc429,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_916a8c919c051de64d0ee22d,legacy_v1,20260731,20260731,1.00789099208,2.51721897999,0.574829945165,0.433061046913,2,3,40,2,trd_34cf7c956314b84f55b70ab8|trd_fb4b8496d8be842ce4273e8f,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_10afdebb232e3a495ec63dd4,legacy_v1,20260803,20260803,0.999445251563,-0.837961702521,0.626954196931,0.372491054632,2,3,40,2,trd_0bc8347853889957fc47c3ab|trd_d5da93c0569c1e53d2f71d52,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_85f728a7485a1bf6f2123a95,legacy_v1,20260804,20260804,1.02826023681,2.88309791869,0.589260898054,0.438999338755,2,3,40,2,trd_70a90b5a3dcc9bd13c00c217|trd_dc0abc5cdb276b151a86ca29,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_6236ce7203c13c3dd55b2b2d,legacy_v1,20260805,20260805,1.05009655297,2.12361767772,0.643391933513,0.406704619459,2,3,40,2,trd_10850a149c4e11359f8e1ea7|trd_86ba1c350ba844787fa5219c,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_286b070dfeda824d5523bea0,legacy_v1,20260806,20260806,1.02997028098,-1.91661156635,0.417043554216,0.612926726762,3,2,60,3,trd_10850a149c4e11359f8e1ea7|trd_41f2fbad908352d4664dbc5a|trd_f19a3fafbd62bf334671fb53,0,,"{""未知"":100.0}",未知,100,3
recommend_nav_v2,nav_169bc09fff964f12b51c13ca,legacy_v1,20260807,20260807,1.04506452551,1.46550291855,0.627655533105,0.417408992403,2,3,40,2,trd_063d9e27bea4cfc79dbd4c20|trd_7d9cb40a7dee2c7dd9361e84,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_fb4d1a48ebeb72d62919f2b5,legacy_v1,20260810,20260810,1.04353142779,-0.146698857149,0.394301568408,0.649229859386,3,2,60,3,trd_09cf92265af9354fbd63f39e|trd_7d9cb40a7dee2c7dd9361e84|trd_da5c5c4a68ffdfbbf627956d,0,,"{""未知"":100.0}",未知,100,3
recommend_nav_v2,nav_b3dbdfdf8722e0b9de055367,legacy_v1,20260811,20260811,1.01910679646,-2.34057457991,0.1937,0.825406796458,4,1,80,4,trd_09cf92265af9354fbd63f39e|trd_da5c5c4a68ffdfbbf627956d|trd_f72e3b1a5a53551fe6c4d899|trd_fa2978187ad4a5086db53512,0,,"{""未知"":100.0}",未知,100,4
recommend_nav_v2,nav_ec5b7211b6fc7554c58d9f20,legacy_v1,20260812,20260812,1.02528056757,0.605802172306,0.431159270192,0.594121297379,3,2,60,3,trd_ce2b47e57f5b32d361e7b662|trd_f72e3b1a5a53551fe6c4d899|trd_fa2978187ad4a5086db53512,0,,"{""未知"":100.0}",未知,100,3
recommend_nav_v2,nav_bc0a9dfafd9284a66005b9dd,legacy_v1,20260813,20260813,1.02134435037,-0.383916102622,0.590413461459,0.430930888915,2,3,40,2,trd_7c805cdaef37509e8fb3a482|trd_926c35b91ab756ff2fb08edc,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_3690a44e7b31d95f905fcc2d,legacy_v1,20260814,20260814,1.01233861412,-0.881753176697,0.421944500522,0.590394113594,3,2,60,3,trd_30eee47dd94d6028f4416faa|trd_4d4d896a31adde4a13d4a9c1|trd_926c35b91ab756ff2fb08edc,0,,"{""未知"":100.0}",未知,100,3
recommend_nav_v2,nav_38d3180b4b033f21033affad,legacy_v1,20260817,20260817,1.01265920519,0.031668363555,0.581376224271,0.431282980922,2,3,40,2,trd_3b1e6cf00a819019da29f4f8|trd_f7ba914939b4f5428a7a3f4d,0,,"{""未知"":100.0}",未知,100,2
recommend_nav_v2,nav_a9745eb37a5c582c715608c3,legacy_v1,20260818,20260818,1.01932713999,0.658457926136,0.411314675335,0.608012464657,3,2,60,3,trd_7d590109e35a1fd63aede633|trd_80e48f43a3939b503c7dd8a3|trd_f7ba914939b4f5428a7a3f4d,0,,"{""未知"":100.0}",未知,100,3
recommend_nav_v2,nav_da2c385fdb730627c7f327fc,legacy_v1,20260819,20260819,1.02047018219,0.112136933793,0.607062626128,0.413407556062,2,3,40,2,trd_1503d4e2e83559da05f34d6c|trd_81ae2fad07594ef06f01326d,0,,"{""未知"":100.0}",未知,100,2
